Invoice Number,Vendor Tax ID,Invoice Item,Total,Date
170819,RO874231,Professional Services,306877 USD,2018-06-21
478153,DE987564,IT Support,105403 RON,2018-06-07
877101,RO874232,Various paper supplies,201097 CAD,2018-06-07
528746,FR121212,Concierge Services,285420 RON,2018-06-28
872150,RO874232,Waste management services,133158 USD,2018-06-24
232156,RU567434,Concierge Services,322394 CAD,2018-06-16
449122,RU567434,Beverages and Catering,293418 EUR,2018-06-11
997731,RO657483,Beverages and Catering,270182 RON,2018-06-26
497466,RO874231,Waste management services,350832 RON,2018-06-02
410950,RU567434,Various paper supplies,198911 EUR,0000-00-00
243365,RO212121,IT Support,316744 EUR,2018-06-27
340840,IT145632,Concierge Services,24097.2 USD,2018-06-15
681931,FR453231,Waste management services,69616.8 RON,2018-06-05
554985,DE987564,Concierge Services,72668.4 RON,2018-06-17
868635,RO125678,IT Support,255847 CAD,2018-07-09
775019,RO125678,Professional Services,287340 CAD,2018-07-08
955087,IT213456,IT Support,224492 USD,2018-07-18
783323,FR329083,Waste management services,1087.2 USD,2018-07-20
639296,FR329083,Waste management services,72757.2 EUR,2018-07-12
391266,IT231232,Professional Services,15631.2 USD,2018-07-06
749187,RU567434,Waste management services,299440 RON,2018-07-06
193892,RU567434,IT Support,236609 EUR,2018-07-22
276607,RO212121,Concierge Services,90199.2 CAD,2018-07-11
816266,RO094782,Waste management services,338656 USD,2018-07-24
343105,FR121212,Waste management services,286717 EUR,2018-07-27
451902,FR453231,Concierge Services,8938.8 RON,2018-07-11
470586,RO094782,Waste management services,151961 RON,2018-08-06
238153,IT145632,Waste management services,2521.2 RON,2018-08-23
888042,DE987564,Various paper supplies,214588 CAD,2018-08-27
103046,RO125678,Waste management services,85524 CAD,2018-08-05
837936,DE987564,Waste management services,49946.4 RON,2018-08-20
993025,RU567434,Beverages and Catering,268042 CAD,2018-08-13
781776,RO874232,Professional Services,292548 USD,2018-08-04
309745,RO094782,Waste management services,147488 USD,2018-08-21
689915,IT145632,Professional Services,77623.2 CAD,2018-08-23
695184,IT231232,IT Support,21086.4 EUR,0000-00-00
337999,RU567434,IT Support,320815 USD,2018-09-06
113265,FR453231,Various paper supplies,27438 EUR,2018-09-06
993921,FR329083,Beverages and Catering,164954 RON,2018-09-17
632090,RU567434,Waste management services,272669 USD,2018-09-06
638278,IT231232,Various paper supplies,12298.8 USD,2018-09-03
369333,RO657483,Various paper supplies,252298 USD,2018-09-15
184027,RO874232,Various paper supplies,21499.2 CAD,2018-09-23
231315,RO874232,Various paper supplies,138358 EUR,2018-09-20
664805,DE987564,Beverages and Catering,277872 CAD,2018-09-28
840511,RO874232,Beverages and Catering,242939 RON,2018-09-19
520893,IT231232,IT Support,268471 USD,2018-10-15
957249,IT213456,Waste management services,34341.6 RON,2018-10-24
602729,IT231232,Professional Services,334483 CAD,2018-10-01
236677,DE987564,IT Support,228576 RON,2018-10-17
905067,IT231232,Various paper supplies,10408.8 RON,2018-10-27
344981,DE987564,Concierge Services,145380 EUR,2018-10-28
239520,RO657483,Concierge Services,111352 EUR,2018-10-09
693583,RO874231,Various paper supplies,142318 EUR,2018-10-04
549154,RU567434,Beverages and Catering,354116 EUR,2018-10-20
678079,IT231232,Professional Services,107131 RON,2018-10-17
829632,DE987564,Concierge Services,73660.8 CAD,2018-10-10
816197,RO094782,Concierge Services,65204.4 RON,2018-11-09
935152,RO874232,IT Support,251173 EUR,2018-11-27
478959,FR329083,Various paper supplies,11535.6 CAD,2018-11-23
397332,DE987564,Waste management services,230436 CAD,2018-11-19
434947,RO657483,Professional Services,33669.6 CAD,2018-11-23
519999,RO874232,Waste management services,211268 RON,2018-11-21
776137,FR121212,Concierge Services,265248 USD,2018-11-20
357218,RO874232,IT Support,5209.2 EUR,2018-11-28
406402,DE987564,Various paper supplies,166877 RON,0000-00-00
946522,IT145632,Waste management services,156325 RON,2018-11-27
290448,FR453231,Beverages and Catering,172940 CAD,2018-11-15
549892,FR453231,Waste management services,183920 USD,2018-12-15
404188,IT231232,Various paper supplies,228700 USD,2018-12-13
638803,DE987564,Beverages and Catering,176794 USD,2018-12-07
200746,IT213456,Waste management services,327229 RON,2018-12-12
167213,FR121212,Concierge Services,63244.8 EUR,2018-12-14
776015,IT231232,IT Support,343075 USD,2018-12-08
544197,IT231232,Concierge Services,138047 CAD,2018-12-13
630988,RU567434,Waste management services,36424.8 USD,2018-12-11
480983,RO874231,Waste management services,266611 USD,2018-12-11
210452,IT145632,Beverages and Catering,23517.6 RON,2018-12-26
126536,FR453231,Concierge Services,184166 USD,2018-12-15
234911,RO657483,Professional Services,125501 USD,2018-12-20
327917,RO094782,Beverages and Catering,58489.2 CAD,2018-12-04
691152,FR121212,Professional Services,17562 EUR,2018-12-08
889080,RU567434,IT Support,152251 USD,2018-12-14
223010,RO212121,Waste management services,358868 CAD,2018-12-16
